,precision,recall,f1-score,support
0,0.5328185328185329,0.46,0.4937388193202147,300.0
1,0.328125,0.35,0.3387096774193548,300.0
2,0.44025157232704404,0.3333333333333333,0.3794037940379404,210.0
3,0.5892018779342723,0.8366666666666667,0.6914600550964187,300.0
4,0.4377880184331797,0.31666666666666665,0.36750483558994196,300.0
5,0.5699300699300699,0.5433333333333333,0.5563139931740614,300.0
6,0.4489795918367347,0.5133333333333333,0.47900466562986005,300.0
accuracy,0.4855721393034826,0.4855721393034826,0.4855721393034826,0.4855721393034826
macro avg,0.4781563804685477,0.47904761904761906,0.47230512003825603,2010.0
weighted avg,0.4798536106838388,0.4855721393034826,0.4764648809039418,2010.0
