epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.9024,0.1902,1.7788,0.2753,0.2194
2,1.7774,0.2852,1.6851,0.3524,0.3044
3,1.7013,0.333,1.5759,0.4071,0.3463
4,1.6364,0.3649,1.526,0.4345,0.4063
5,1.5736,0.3894,1.4595,0.4527,0.4333
6,1.5308,0.4163,1.4235,0.4536,0.4202
7,1.5044,0.4252,1.4124,0.476,0.4468
8,1.4745,0.4371,1.3914,0.4677,0.4387
9,1.445,0.456,1.39,0.4635,0.4344
10,1.4252,0.4615,1.3596,0.4892,0.4697
11,1.3989,0.4693,1.3447,0.505,0.4904
12,1.3862,0.4738,1.3563,0.4959,0.4755
13,1.3549,0.5013,1.3513,0.4967,0.469
14,1.3397,0.4968,1.3223,0.4992,0.4972
15,1.3211,0.5064,1.3296,0.4983,0.4871
16,1.2997,0.5142,1.3206,0.5141,0.5039
17,1.28,0.5192,1.3238,0.5158,0.5083
18,1.2673,0.5214,1.3132,0.5133,0.5007
19,1.2413,0.5379,1.3262,0.5141,0.5076
20,1.2341,0.5334,1.3225,0.5124,0.4993
21,1.2065,0.5518,1.3008,0.5199,0.5117
22,1.193,0.5547,1.3268,0.5133,0.5093
23,1.1809,0.5631,1.3088,0.5232,0.5167
24,1.1601,0.5727,1.3275,0.5158,0.5076
25,1.1446,0.5707,1.3161,0.5141,0.5068
26,1.132,0.5792,1.3281,0.5299,0.5235
27,1.1005,0.5923,1.3394,0.5224,0.5147
28,1.0899,0.5998,1.3189,0.5265,0.5211
29,1.0867,0.5982,1.3434,0.5207,0.5148
30,1.0496,0.6064,1.3281,0.5274,0.5231
