,precision,recall,f1-score,support
0,0.5789473684210527,0.5133333333333333,0.5441696113074205,150.0
1,0.34375,0.44,0.38596491228070173,150.0
2,0.45544554455445546,0.4380952380952381,0.44660194174757284,105.0
3,0.7204968944099379,0.7733333333333333,0.7459807073954984,150.0
4,0.4962962962962963,0.44666666666666666,0.47017543859649125,150.0
5,0.6120689655172413,0.47333333333333333,0.5338345864661654,150.0
6,0.48502994011976047,0.54,0.5110410094637224,150.0
accuracy,0.5213930348258706,0.5213930348258706,0.5213930348258706,0.5213930348258706
macro avg,0.5274335727598206,0.5178231292517007,0.5196811724653675,1005.0
weighted avg,0.5306569173063295,0.5213930348258706,0.5229533768258657,1005.0
